image_id,manifest_caption,content_file,section_id,section_title,description_in_content
ASI 006,"Janapada-Kalyaani — Conversion of Nanda, Cave 1, 5th century AD",content/cave1/c1-nanda.html,c1-nanda,Conversion of Nanda,"apartment on the left, an attendant is seen announcing the arrival of Nanda as a Bhikshu to Princess Janapada-Kalyaani,"
ASI 006,"Janapada-Kalyaani — Conversion of Nanda, Cave 1, 5th century AD",content/cave1/intro.html,,Cave One,Janapada-Kalyaani
ASI 022,"Mithuna Figures — Bodhi-sattva Padma-paani Panel, Cave 1",content/cave1/c1-padmapaani.html,c1-padmapaani,Bodhi-sattva Padma-paani Panel,"shown on his left, the Mithuna Figures"
ASI 022,"Mithuna Figures — Bodhi-sattva Padma-paani Panel, Cave 1",content/cave1/intro.html,,Cave One,the Mithuna Figures
ASI 043,"Foreigners drinking — ceiling painting, Cave 2",content/cave1/c1-queen.html,c1-queen,Queen in a Palace Scene,"on the ceiling of this cave and also on the ceilings of Cave 2, a scene called, Foreigners drinking"
ASI 043,"Foreigners drinking — ceiling painting, Cave 2",content/cave2/c2-ceiling.html,c2-ceiling,Ceiling Paintings,Two Foreigners drinking
ASI 043,"Foreigners drinking — ceiling painting, Cave 2",content/cave2/intro.html,,Cave Two,"The ceiling also contain some scenes in a lighter vein, like, the Foreigners drinking"
ASI 043,"Foreigners drinking — ceiling painting, Cave 2",content/overview/ov-19.html,ov-19,19. Portrayal of Women,"Foreigners drinking ? men in women's company with wine, ceiling painting Cave 2"
ASI 048,"Squares and Circles 3 — ceiling painting (binduja shading), Cave 2",content/cave2/c2-ceiling.html,c2-ceiling,Ceiling Paintings,"The painting on the ceiling of the main shrine, Squares and Circle - 3"
ASI 048,"Squares and Circles 3 — ceiling painting (binduja shading), Cave 2",content/cave2/intro.html,,Cave Two,"The painting on the ceiling of this shrine, Squares and Circle - 3"
ASI 048,"Squares and Circles 3 — ceiling painting (binduja shading), Cave 2",content/overview/ov-12.html,ov-12,12. Producing Depth and Relief,The contours on the bare body of the cherubs flying effortlessly on the four corners of the Squares and Circles - 3
ASI 048,"Squares and Circles 3 — ceiling painting (binduja shading), Cave 2",content/overview/ov-19.html,ov-19,19. Portrayal of Women,"The ceiling of Cave 2 is the best such example, of which Squares and Circles - 3"
ASI 071,"Restoration of Children — Vishvaantara Jaataka, Cave 17",content/cave17/c17-vishvaantara.html,c17-vishvaantara,Vishvaantara Jaataka,and a colour picture Restoration of Children
ASI 071,"Restoration of Children — Vishvaantara Jaataka, Cave 17",content/cave17/intro.html,,Cave Seventeen,"is a poignant detail, the Restoration of Children"
ASI 078,"Simhala rides a white Elephant — Simhala Avadaana, Cave 17",content/cave17/c17-simhala.html,c17-simhala,Simhala Avadaana,"On the top-left, we find Simhala rides a white Elephant"
ASI 078,"Simhala rides a white Elephant — Simhala Avadaana, Cave 17",content/cave17/intro.html,,Cave Seventeen,Simhala rides a white Elephant
Kbl 041,"Kneeling Ascetic — Cave 9, Late 5th century AD",content/cave9/intro.html,,Cave Nine,A painting of a Kneeling Ascetic
Kbl 075,"Prince And His Consort — Shibi Jaataka (animnonnata style), Cave 1",content/cave1/c1-padmapaani.html,c1-padmapaani,Bodhi-sattva Padma-paani Panel,This painting may be compared with prince and his Consort
Kbl 075,"Prince And His Consort — Shibi Jaataka (animnonnata style), Cave 1",content/cave1/c1-shibi.html,c1-shibi,Shibi Jaataka,"containing the detail, Prince And His Consort"
Kbl 075,"Prince And His Consort — Shibi Jaataka (animnonnata style), Cave 1",content/cave1/intro.html,,Cave One,"containing the details, Prince And His Consort"
Kbl 075,"Prince And His Consort — Shibi Jaataka (animnonnata style), Cave 1",content/overview/ov-12.html,ov-12,12. Producing Depth and Relief,and Prince and his Consort
Kbl 083B/L,,content/cave1/c1-shankha.html,c1-shankha,Shankha-paala jaataka,We find Shankha-paala in Conversation with Alaara
Kbl 083B/L,,content/cave1/intro.html,,Cave One,and Shankha-paala in Conversation with Alaara
Kbl 083T/L,,content/cave1/c1-shankha.html,c1-shankha,Shankha-paala jaataka,In the lower panel we see Hunters drag the Serpent
Kbl 083T/L,,content/cave1/intro.html,,Cave One,"is a detail, Hunters Drag the Serpent"
Kbl 105,"Naaga King repents his Life of Pleasures — Champeyya Jaataka, Cave 1",content/cave1/c1-champeyya.html,c1-champeyya,Champeyya Jaataka,"In the first scene, Champeyya Repents his Life of Pleasures"
Kbl 105,"Naaga King repents his Life of Pleasures — Champeyya Jaataka, Cave 1",content/cave1/intro.html,,Cave One,Naaga King repents his Life of Pleasures
Kbl 114B,,content/cave1/c1-ceiling.html,c1-ceiling,Paintings on the Ceiling,For example the Cherubs in Playful Mood
Kbl 114B,,content/cave1/intro.html,,Cave One,and Cherubs in playful Mood
Kbl 140,,content/cave2/c2-ceiling.html,c2-ceiling,Ceiling Paintings,In spite of the restricted space the couples are not cramped as can be seen in the Detail of Squares and Circles - 7
Kbl 140,,content/cave2/intro.html,,Cave Two,and Detail of Squares and Circles - 7
Kbl 152,"Nanda in dejected Mood — Conversion of Nanda, Cave 16",content/cave16/c16-nanda.html,c16-nanda,Conversion of Nanda,Nanda in dejected Mood
